B,P,C,X,N,Time
5,1,1,0,2,10.429360
5,1,5,0,2,10.443479
5,5,1,0,2,2.131544
5,5,5,0,2,2.134557
10,1,1,0,2,10.446039
10,1,5,0,2,10.456030
10,1,10,0,2,10.449961
10,5,1,0,2,2.130526
10,5,5,0,2,2.132898
10,5,10,0,2,2.139565
10,10,1,0,2,1.085077
10,10,5,0,2,1.091821
10,10,10,0,2,1.085464
5,1,1,200,2,10.456318
5,1,5,200,2,10.443155
5,5,1,200,2,10.049905
5,5,5,200,2,2.148191
10,1,1,200,2,10.447320
10,1,5,200,2,10.448364
10,1,10,200,2,10.459445
10,5,1,200,2,10.162638
10,5,5,200,2,2.175395
10,5,10,200,2,2.132613
10,10,1,200,2,10.065351
10,10,5,200,2,2.251857
10,10,10,200,2,1.133866
5,1,1,400,2,20.048863
5,1,5,400,2,10.446656
5,5,1,400,2,20.042234
5,5,5,400,2,4.432871
10,1,1,400,2,20.041453
10,1,5,400,2,10.428625
10,1,10,400,2,10.403637
10,5,1,400,2,20.037772
10,5,5,400,2,4.431860
10,5,10,400,2,2.449238
10,10,1,400,2,20.051103
10,10,5,400,2,4.433779
10,10,10,400,2,2.432286
