B,P,C,X,N,Time
5,1,1,0,1,10.478441
5,1,5,0,1,10.493713
5,5,1,0,1,2.165172
5,5,5,0,1,2.156816
10,1,1,0,1,10.509756
10,1,5,0,1,10.504702
10,1,10,0,1,10.467244
10,5,1,0,1,2.155378
10,5,5,0,1,2.160868
10,5,10,0,1,2.130858
10,10,1,0,1,1.124562
10,10,5,0,1,1.099920
10,10,10,0,1,1.093339
5,1,1,200,1,10.502196
5,1,5,200,1,10.492626
5,5,1,200,1,2.141327
5,5,5,200,1,2.166117
10,1,1,200,1,10.497427
10,1,5,200,1,10.495683
10,1,10,200,1,10.500230
10,5,1,200,1,2.157283
10,5,5,200,1,2.144360
10,5,10,200,1,2.123940
10,10,1,200,1,1.075861
10,10,5,200,1,1.078184
10,10,10,200,1,1.076852
5,1,1,400,1,10.409533
5,1,5,400,1,10.423591
5,5,1,400,1,2.123355
5,5,5,400,1,2.123528
10,1,1,400,1,10.414687
10,1,5,400,1,10.419805
10,1,10,400,1,10.433618
10,5,1,400,1,2.122625
10,5,5,400,1,2.123750
10,5,10,400,1,2.124690
10,10,1,400,1,1.080593
10,10,5,400,1,1.075730
10,10,10,400,1,1.080141
