B,P,C,X,N,Time
5,1,1,0,1,0.039386
5,1,5,0,1,0.017803
5,5,1,0,1,0.010571
5,5,5,0,1,0.005460
10,1,1,0,1,0.022497
10,1,5,0,1,0.013857
10,1,10,0,1,0.031020
10,5,1,0,1,0.016041
10,5,5,0,1,0.007328
10,5,10,0,1,0.006673
10,10,1,0,1,0.012450
10,10,5,0,1,0.011800
10,10,10,0,1,0.010391
5,1,1,200,1,0.082789
5,1,5,200,1,0.180618
5,5,1,200,1,4.274628
5,5,5,200,1,0.145045
10,1,1,200,1,0.083807
10,1,5,200,1,0.184824
10,1,10,200,1,0.186422
10,5,1,200,1,4.264137
10,5,5,200,1,0.160935
10,5,10,200,1,0.172044
10,10,1,200,1,4.834921
10,10,5,200,1,0.725504
10,10,10,200,1,0.191997
5,1,1,400,1,5.082232
5,1,5,400,1,0.432814
5,5,1,400,1,9.446035
5,5,5,400,1,1.220394
10,1,1,400,1,5.077100
10,1,5,400,1,0.434638
10,1,10,400,1,0.430613
10,5,1,400,1,9.446108
10,5,5,400,1,1.221067
10,5,10,400,1,0.376621
10,10,1,400,1,9.994707
10,10,5,400,1,1.772503
10,10,10,400,1,0.720065
